Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Leuggern;5316;00;3038;Leuggern;4313;AG;100%;2658709;1270654;de;01.07.2008
Hettenschwil;5317;00;3039;Leuggern;4313;AG;100%;2657175;1269613;de;01.07.2008
Mandach;5318;00;3040;Mandach;4105;AG;100%;2656234;1266549;de;01.07.2008
Koblenz;5322;00;3041;Koblenz;4310;AG;98.90%;2660388;1273393;de;01.07.2008
Koblenz;5322;00;3041;Klingnau;4309;AG;1.10%;2659465;1272053;de;01.07.2008
Rietheim;5323;00;4740;Zurzach;4324;AG;100%;2663172;1272540;de;01.07.2008
Full-Reuenthal;5324;00;2637;Full-Reuenthal;4307;AG;100%;2657564;1273974;de;01.07.2008
Leibstadt;5325;00;2636;Leibstadt;4311;AG;100%;2655308;1271390;de;01.07.2008
Schwaderloch;5326;00;2635;Schwaderloch;4176;AG;100%;2653052;1270790;de;01.07.2008
Bad Zurzach;5330;00;4739;Zurzach;4324;AG;100%;2664321;1271059;de;01.07.2008
Rekingen AG;5332;00;4737;Zurzach;4324;AG;100%;2666311;1269317;de;01.07.2008
Baldingen;5333;00;4746;Zurzach;4324;AG;100%;2666072;1267549;de;01.07.2008
Böbikon;5334;00;4747;Zurzach;4324;AG;100%;2667286;1267434;de;01.07.2008
Baden;5400;00;3043;Baden;4021;AG;100%;2664944;1258502;de;01.07.2008
Baden;5404;00;3052;Baden;4021;AG;100%;2663337;1256493;de;01.07.2008
Dättwil AG;5405;02;6237;Baden;4021;AG;99.79%;2663767;1256324;de;01.07.2008
Dättwil AG;5405;02;6237;Fislisbach;4027;AG;0.21%;2664592;1255331;de;01.07.2008
Rütihof;5406;02;6238;Baden;4021;AG;92.10%;2662556;1254420;de;01.07.2008
Rütihof;5406;02;6238;Birmenstorf (AG);4024;AG;7.90%;2661997;1254447;de;01.07.2008
Ennetbaden;5408;00;3045;Ennetbaden;4026;AG;100%;2666400;1259280;de;01.07.2008
Gebenstorf;5412;00;3055;Gebenstorf;4029;AG;100%;2660485;1259155;de;01.07.2008
Vogelsang AG;5412;01;9164;Gebenstorf;4029;AG;100%;2660419;1260665;de;01.01.2011
Birmenstorf AG;5413;00;3056;Birmenstorf (AG);4024;AG;100%;2661272;1256998;de;01.07.2008
Nussbaumen AG;5415;00;3058;Obersiggenthal;4038;AG;100%;2664374;1260110;de;01.07.2008
Hertenstein AG;5415;01;8120;Obersiggenthal;4038;AG;100%;2665792;1259915;de;01.07.2008
Rieden AG;5415;02;8121;Obersiggenthal;4038;AG;100%;2665165;1259621;de;01.07.2008
Kirchdorf AG;5416;00;3059;Obersiggenthal;4038;AG;98.61%;2663095;1260925;de;01.07.2008
Kirchdorf AG;5416;00;3059;Untersiggenthal;4044;AG;1.40%;2662718;1261493;de;01.07.2008
Untersiggenthal;5417;00;3060;Untersiggenthal;4044;AG;100%;2661737;1261278;de;01.07.2008
Ehrendingen;5420;00;3061;Ehrendingen;4049;AG;100%;2668212;1261190;de;01.07.2008
Freienwil;5423;00;3062;Freienwil;4028;AG;100%;2666928;1261696;de;01.07.2008
Schneisingen;5425;00;3066;Schneisingen;4318;AG;100%;2669644;1263548;de;01.07.2008
Lengnau AG;5426;00;3067;Lengnau (AG);4312;AG;100%;2667000;1263927;de;01.07.2008
Wettingen;5430;00;3068;Wettingen;4045;AG;99.90%;2666894;1257594;de;01.07.2008
Wettingen;5430;00;3068;Würenlos;4048;AG;0.10%;2667936;1255472;de;01.07.2008
Neuenhof;5432;00;3073;Neuenhof;4034;AG;100%;2666983;1255722;de;01.07.2008
